repo_owner_name,repo_name,is_private,description,language,stars,ventures_using,venture_ids,venture_names,status
Worldwidebro/em-008-gene-editing-ai,em-008-gene-editing-ai,True,Civilization OS — EM-008-Gene-Editing-AI,,0,3,EM-008-Gene-Editing-AI|EM-049-AI-Ocean-Exploration|EM-050-AI-Archaeology,Gene Editing Ai|Ai Ocean Exploration|Ai Archaeology,aligned
Worldwidebro/em-009-space-tourism-ai,em-009-space-tourism-ai,True,Civilization OS — EM-009-Space-Tourism-AI,,0,3,EM-009-Space-Tourism-AI|EM-049-AI-Ocean-Exploration|EM-050-AI-Archaeology,Space Tourism Ai|Ai Ocean Exploration|Ai Archaeology,aligned
Worldwidebro/em-010-wearables-ai,em-010-wearables-ai,True,Civilization OS — EM-010-Wearables-AI,,0,1,EM-010-Wearables-AI,Wearables Ai,aligned
Worldwidebro/em-011-metaverse-hub-ai,em-011-metaverse-hub-ai,True,Civilization OS — EM-011-Metaverse-Hub-AI,,0,1,EM-011-Metaverse-Hub-AI,Metaverse Hub Ai,aligned
Worldwidebro/em-012-energy-grid-ai,em-012-energy-grid-ai,True,Civilization OS — EM-012-Energy-Grid-AI,,0,1,EM-012-Energy-Grid-AI,Energy Grid Ai,aligned
Worldwidebro/em-013-brain-computer-interface,em-013-brain-computer-interface,True,Civilization OS — EM-013-Brain-Computer-Interface,,0,1,EM-013-Brain-Computer-Interface,Brain Computer Interface,aligned
Worldwidebro/em-014-ocean-cleanup-ai,em-014-ocean-cleanup-ai,True,Civilization OS — EM-014-Ocean-Cleanup-AI,,0,1,EM-014-Ocean-Cleanup-AI,Ocean Cleanup Ai,aligned
Worldwidebro/em-015-crypto-trading-ai,em-015-crypto-trading-ai,True,Civilization OS — EM-015-Crypto-Trading-AI,,0,1,EM-015-Crypto-Trading-AI,Crypto Trading Ai,aligned
Worldwidebro/em-016-synthetic-media-ai,em-016-synthetic-media-ai,True,Civilization OS — EM-016-Synthetic-Media-AI,,0,1,EM-016-Synthetic-Media-AI,Synthetic Media Ai,aligned
Worldwidebro/em-017-space-mining-ai,em-017-space-mining-ai,True,Civilization OS — EM-017-Space-Mining-AI,,0,1,EM-017-Space-Mining-AI,Space Mining Ai,aligned
Worldwidebro/em-018-vr-therapy-ai,em-018-vr-therapy-ai,True,Civilization OS — EM-018-VR-Therapy-AI,,0,1,EM-018-VR-Therapy-AI,Vr Therapy Ai,aligned
Worldwidebro/em-019-weather-prediction-ai,em-019-weather-prediction-ai,True,Civilization OS — EM-019-Weather-Prediction-AI,,0,1,EM-019-Weather-Prediction-AI,Weather Prediction Ai,aligned
Worldwidebro/em-020-autonomous-farming-ai,em-020-autonomous-farming-ai,True,Civilization OS — EM-020-Autonomous-Farming-AI,,0,1,EM-020-Autonomous-Farming-AI,Autonomous Farming Ai,aligned
Worldwidebro/em-021-traffic-optimizer-ai,em-021-traffic-optimizer-ai,True,Civilization OS — EM-021-Traffic-Optimizer-AI,,0,1,EM-021-Traffic-Optimizer-AI,Traffic Optimizer Ai,aligned
Worldwidebro/em-022-smart-grid-ai,em-022-smart-grid-ai,True,Civilization OS — EM-022-Smart-Grid-AI,,0,1,EM-022-Smart-Grid-AI,Smart Grid Ai,aligned
Worldwidebro/em-023-disaster-prediction-ai,em-023-disaster-prediction-ai,True,Civilization OS — EM-023-Disaster-Prediction-AI,,0,1,EM-023-Disaster-Prediction-AI,Disaster Prediction Ai,aligned
Worldwidebro/em-024-nanotech-ai,em-024-nanotech-ai,True,Civilization OS — EM-024-Nanotech-AI,,0,1,EM-024-Nanotech-AI,Nanotech Ai,aligned
Worldwidebro/em-025-personalized-medicine-ai,em-025-personalized-medicine-ai,True,Civilization OS — EM-025-Personalized-Medicine-AI,,0,1,EM-025-Personalized-Medicine-AI,Personalized Medicine Ai,aligned
Worldwidebro/em-026-ai-diagnostic-lab,em-026-ai-diagnostic-lab,True,Civilization OS — EM-026-AI-Diagnostic-Lab,,0,1,EM-026-AI-Diagnostic-Lab,Ai Diagnostic Lab,aligned
Worldwidebro/em-027-sustainable-cities-ai,em-027-sustainable-cities-ai,True,Civilization OS — EM-027-Sustainable-Cities-AI,,0,1,EM-027-Sustainable-Cities-AI,Sustainable Cities Ai,aligned
Worldwidebro/em-028-renewable-energy-ai,em-028-renewable-energy-ai,True,Civilization OS — EM-028-Renewable-Energy-AI,,0,1,EM-028-Renewable-Energy-AI,Renewable Energy Ai,aligned
Worldwidebro/em-029-climate-modeling-ai,em-029-climate-modeling-ai,True,Civilization OS — EM-029-Climate-Modeling-AI,,0,1,EM-029-Climate-Modeling-AI,Climate Modeling Ai,aligned
Worldwidebro/em-030-policy-advisor-ai,em-030-policy-advisor-ai,True,Civilization OS — EM-030-Policy-Advisor-AI,,0,1,EM-030-Policy-Advisor-AI,Policy Advisor Ai,aligned
Worldwidebro/em-031-governance-hub-ai,em-031-governance-hub-ai,True,Civilization OS — EM-031-Governance-Hub-AI,,0,1,EM-031-Governance-Hub-AI,Governance Hub Ai,aligned
Worldwidebro/em-032-global-challenges-ai,em-032-global-challenges-ai,True,Civilization OS — EM-032-Global-Challenges-AI,,0,1,EM-032-Global-Challenges-AI,Global Challenges Ai,aligned
Worldwidebro/em-033-space-exploration-ai,em-033-space-exploration-ai,True,Civilization OS — EM-033-Space-Exploration-AI,,0,1,EM-033-Space-Exploration-AI,Space Exploration Ai,aligned
Worldwidebro/em-034-education-equity-ai,em-034-education-equity-ai,True,Civilization OS — EM-034-Education-Equity-AI,,0,1,EM-034-Education-Equity-AI,Education Equity Ai,aligned
Worldwidebro/em-035-health-equity-ai,em-035-health-equity-ai,True,Civilization OS — EM-035-Health-Equity-AI,,0,1,EM-035-Health-Equity-AI,Health Equity Ai,aligned
Worldwidebro/em-036-economic-equity-ai,em-036-economic-equity-ai,True,Civilization OS — EM-036-Economic-Equity-AI,,0,1,EM-036-Economic-Equity-AI,Economic Equity Ai,aligned
Worldwidebro/em-037-environmental-justice-ai,em-037-environmental-justice-ai,True,Civilization OS — EM-037-Environmental-Justice-AI,,0,1,EM-037-Environmental-Justice-AI,Environmental Justice Ai,aligned
Worldwidebro/em-038-human-rights-ai,em-038-human-rights-ai,True,Civilization OS — EM-038-Human-Rights-AI,,0,1,EM-038-Human-Rights-AI,Human Rights Ai,aligned
Worldwidebro/em-039-peacebuilding-ai,em-039-peacebuilding-ai,True,Civilization OS — EM-039-Peacebuilding-AI,,0,1,EM-039-Peacebuilding-AI,Peacebuilding Ai,aligned
Worldwidebro/em-040-telemedicine-ai,em-040-telemedicine-ai,True,Civilization OS — EM-040-Telemedicine-AI,,0,1,EM-040-Telemedicine-AI,Telemedicine Ai,aligned
Worldwidebro/em-041-ai-climate-adaptation,em-041-ai-climate-adaptation,True,Civilization OS — EM-041-AI-Climate-Adaptation,,0,1,EM-041-AI-Climate-Adaptation,Ai Climate Adaptation,aligned
Worldwidebro/em-042-space-agriculture-ai,em-042-space-agriculture-ai,True,Civilization OS — EM-042-Space-Agriculture-AI,,0,1,EM-042-Space-Agriculture-AI,Space Agriculture Ai,aligned
Worldwidebro/em-043-quantum-communication-ai,em-043-quantum-communication-ai,True,Civilization OS — EM-043-Quantum-Communication-AI,,0,1,EM-043-Quantum-Communication-AI,Quantum Communication Ai,aligned
Worldwidebro/em-044-robotics-surgery-ai,em-044-robotics-surgery-ai,True,Civilization OS — EM-044-Robotics-Surgery-AI,,0,1,EM-044-Robotics-Surgery-AI,Robotics Surgery Ai,aligned
Worldwidebro/em-045-ai-disaster-response,em-045-ai-disaster-response,True,Civilization OS — EM-045-AI-Disaster-Response,,0,1,EM-045-AI-Disaster-Response,Ai Disaster Response,aligned
Worldwidebro/em-046-smart-city-governance,em-046-smart-city-governance,True,Civilization OS — EM-046-Smart-City-Governance,,0,1,EM-046-Smart-City-Governance,Smart City Governance,aligned
Worldwidebro/em-047-ai-environmental-monitoring,em-047-ai-environmental-monitoring,True,Civilization OS — EM-047-AI-Environmental-Monitoring,,0,1,EM-047-AI-Environmental-Monitoring,Ai Environmental Monitoring,aligned
Worldwidebro/em-048-space-manufacturing-ai,em-048-space-manufacturing-ai,True,Civilization OS — EM-048-Space-Manufacturing-AI,,0,1,EM-048-Space-Manufacturing-AI,Space Manufacturing Ai,aligned
Worldwidebro/em-049-ai-ocean-exploration,em-049-ai-ocean-exploration,True,Civilization OS — EM-049-AI-Ocean-Exploration,,0,1,EM-049-AI-Ocean-Exploration,Ai Ocean Exploration,aligned
Worldwidebro/em-050-ai-archaeology,em-050-ai-archaeology,True,Civilization OS — EM-050-AI-Archaeology,,0,1,EM-050-AI-Archaeology,Ai Archaeology,aligned
Worldwidebro/et-001-online-tutoring-platform,et-001-online-tutoring-platform,True,Civilization OS — ET-001-Online-Tutoring-Platform,,0,16,ET-001-Online-Tutoring-Platform|ET-002-Language-Learning-App|ET-003-Test-Prep-Service|ET-004-Coding-Bootcamp|ET-005-Professional-Certification|ET-006-Corporate-Training|ET-007-Skills-Assessment-Platform|ET-008-Career-Coaching|ET-009-Resume-Writing-Service|ET-010-Interview-Prep-Platform|ET-011-Mentorship-Platform|ET-012-Educational-Content-Library|ET-013-VR-Training-Simulations|ET-014-Gamified-Learning-App|ET-015-Homeschool-Curriculum|ET-010-PERSONAL-RESUME,Online Tutoring Platform|Language Learning App|Test Prep Service|Coding Bootcamp|Professional Certification|Corporate Training|Skills Assessment Platform|Career Coaching|Resume Writing Service|Interview Prep Platform|Mentorship Platform|Educational Content Library|Vr Training Simulations|Gamified Learning App|Homeschool Curriculum|Personal Resume,aligned
Worldwidebro/et-002-language-learning-app,et-002-language-learning-app,True,Civilization OS — ET-002-Language-Learning-App,,0,16,ET-001-Online-Tutoring-Platform|ET-002-Language-Learning-App|ET-003-Test-Prep-Service|ET-004-Coding-Bootcamp|ET-005-Professional-Certification|ET-006-Corporate-Training|ET-007-Skills-Assessment-Platform|ET-008-Career-Coaching|ET-009-Resume-Writing-Service|ET-010-Interview-Prep-Platform|ET-011-Mentorship-Platform|ET-012-Educational-Content-Library|ET-013-VR-Training-Simulations|ET-014-Gamified-Learning-App|ET-015-Homeschool-Curriculum|ET-010-PERSONAL-RESUME,Online Tutoring Platform|Language Learning App|Test Prep Service|Coding Bootcamp|Professional Certification|Corporate Training|Skills Assessment Platform|Career Coaching|Resume Writing Service|Interview Prep Platform|Mentorship Platform|Educational Content Library|Vr Training Simulations|Gamified Learning App|Homeschool Curriculum|Personal Resume,aligned
Worldwidebro/et-003-content,et-003-content,True,Instructional content and course materials for SkillForge.,,0,16,ET-001-Online-Tutoring-Platform|ET-002-Language-Learning-App|ET-003-Test-Prep-Service|ET-004-Coding-Bootcamp|ET-005-Professional-Certification|ET-006-Corporate-Training|ET-007-Skills-Assessment-Platform|ET-008-Career-Coaching|ET-009-Resume-Writing-Service|ET-010-Interview-Prep-Platform|ET-011-Mentorship-Platform|ET-012-Educational-Content-Library|ET-013-VR-Training-Simulations|ET-014-Gamified-Learning-App|ET-015-Homeschool-Curriculum|ET-010-PERSONAL-RESUME,Online Tutoring Platform|Language Learning App|Test Prep Service|Coding Bootcamp|Professional Certification|Corporate Training|Skills Assessment Platform|Career Coaching|Resume Writing Service|Interview Prep Platform|Mentorship Platform|Educational Content Library|Vr Training Simulations|Gamified Learning App|Homeschool Curriculum|Personal Resume,aligned
Worldwidebro/et-003-platform,et-003-platform,True,Monorepo for the main SkillForge learning platform (frontend/backend).,,0,16,ET-001-Online-Tutoring-Platform|ET-002-Language-Learning-App|ET-003-Test-Prep-Service|ET-004-Coding-Bootcamp|ET-005-Professional-Certification|ET-006-Corporate-Training|ET-007-Skills-Assessment-Platform|ET-008-Career-Coaching|ET-009-Resume-Writing-Service|ET-010-Interview-Prep-Platform|ET-011-Mentorship-Platform|ET-012-Educational-Content-Library|ET-013-VR-Training-Simulations|ET-014-Gamified-Learning-App|ET-015-Homeschool-Curriculum|ET-010-PERSONAL-RESUME,Online Tutoring Platform|Language Learning App|Test Prep Service|Coding Bootcamp|Professional Certification|Corporate Training|Skills Assessment Platform|Career Coaching|Resume Writing Service|Interview Prep Platform|Mentorship Platform|Educational Content Library|Vr Training Simulations|Gamified Learning App|Homeschool Curriculum|Personal Resume,aligned
Worldwidebro/et-003-test-prep-service,et-003-test-prep-service,True,Civilization OS — ET-003-Test-Prep-Service,,0,16,ET-001-Online-Tutoring-Platform|ET-002-Language-Learning-App|ET-003-Test-Prep-Service|ET-004-Coding-Bootcamp|ET-005-Professional-Certification|ET-006-Corporate-Training|ET-007-Skills-Assessment-Platform|ET-008-Career-Coaching|ET-009-Resume-Writing-Service|ET-010-Interview-Prep-Platform|ET-011-Mentorship-Platform|ET-012-Educational-Content-Library|ET-013-VR-Training-Simulations|ET-014-Gamified-Learning-App|ET-015-Homeschool-Curriculum|ET-010-PERSONAL-RESUME,Online Tutoring Platform|Language Learning App|Test Prep Service|Coding Bootcamp|Professional Certification|Corporate Training|Skills Assessment Platform|Career Coaching|Resume Writing Service|Interview Prep Platform|Mentorship Platform|Educational Content Library|Vr Training Simulations|Gamified Learning App|Homeschool Curriculum|Personal Resume,aligned
Worldwidebro/et-004-coding-bootcamp,et-004-coding-bootcamp,True,Civilization OS — ET-004-Coding-Bootcamp,,0,16,ET-001-Online-Tutoring-Platform|ET-002-Language-Learning-App|ET-003-Test-Prep-Service|ET-004-Coding-Bootcamp|ET-005-Professional-Certification|ET-006-Corporate-Training|ET-007-Skills-Assessment-Platform|ET-008-Career-Coaching|ET-009-Resume-Writing-Service|ET-010-Interview-Prep-Platform|ET-011-Mentorship-Platform|ET-012-Educational-Content-Library|ET-013-VR-Training-Simulations|ET-014-Gamified-Learning-App|ET-015-Homeschool-Curriculum|ET-010-PERSONAL-RESUME,Online Tutoring Platform|Language Learning App|Test Prep Service|Coding Bootcamp|Professional Certification|Corporate Training|Skills Assessment Platform|Career Coaching|Resume Writing Service|Interview Prep Platform|Mentorship Platform|Educational Content Library|Vr Training Simulations|Gamified Learning App|Homeschool Curriculum|Personal Resume,aligned
Worldwidebro/et-005-professional-certification,et-005-professional-certification,True,Civilization OS — ET-005-Professional-Certification,,0,16,ET-001-Online-Tutoring-Platform|ET-002-Language-Learning-App|ET-003-Test-Prep-Service|ET-004-Coding-Bootcamp|ET-005-Professional-Certification|ET-006-Corporate-Training|ET-007-Skills-Assessment-Platform|ET-008-Career-Coaching|ET-009-Resume-Writing-Service|ET-010-Interview-Prep-Platform|ET-011-Mentorship-Platform|ET-012-Educational-Content-Library|ET-013-VR-Training-Simulations|ET-014-Gamified-Learning-App|ET-015-Homeschool-Curriculum|ET-010-PERSONAL-RESUME,Online Tutoring Platform|Language Learning App|Test Prep Service|Coding Bootcamp|Professional Certification|Corporate Training|Skills Assessment Platform|Career Coaching|Resume Writing Service|Interview Prep Platform|Mentorship Platform|Educational Content Library|Vr Training Simulations|Gamified Learning App|Homeschool Curriculum|Personal Resume,aligned
Worldwidebro/et-006-corporate-training,et-006-corporate-training,True,Civilization OS — ET-006-Corporate-Training,,0,16,ET-001-Online-Tutoring-Platform|ET-002-Language-Learning-App|ET-003-Test-Prep-Service|ET-004-Coding-Bootcamp|ET-005-Professional-Certification|ET-006-Corporate-Training|ET-007-Skills-Assessment-Platform|ET-008-Career-Coaching|ET-009-Resume-Writing-Service|ET-010-Interview-Prep-Platform|ET-011-Mentorship-Platform|ET-012-Educational-Content-Library|ET-013-VR-Training-Simulations|ET-014-Gamified-Learning-App|ET-015-Homeschool-Curriculum|ET-010-PERSONAL-RESUME,Online Tutoring Platform|Language Learning App|Test Prep Service|Coding Bootcamp|Professional Certification|Corporate Training|Skills Assessment Platform|Career Coaching|Resume Writing Service|Interview Prep Platform|Mentorship Platform|Educational Content Library|Vr Training Simulations|Gamified Learning App|Homeschool Curriculum|Personal Resume,aligned
Worldwidebro/et-007-skills-assessment-platform,et-007-skills-assessment-platform,True,Civilization OS — ET-007-Skills-Assessment-Platform,,0,15,ET-001-Online-Tutoring-Platform|ET-002-Language-Learning-App|ET-003-Test-Prep-Service|ET-004-Coding-Bootcamp|ET-005-Professional-Certification|ET-006-Corporate-Training|ET-007-Skills-Assessment-Platform|ET-008-Career-Coaching|ET-009-Resume-Writing-Service|ET-010-Interview-Prep-Platform|ET-011-Mentorship-Platform|ET-012-Educational-Content-Library|ET-013-VR-Training-Simulations|ET-014-Gamified-Learning-App|ET-015-Homeschool-Curriculum,Online Tutoring Platform|Language Learning App|Test Prep Service|Coding Bootcamp|Professional Certification|Corporate Training|Skills Assessment Platform|Career Coaching|Resume Writing Service|Interview Prep Platform|Mentorship Platform|Educational Content Library|Vr Training Simulations|Gamified Learning App|Homeschool Curriculum,aligned
Worldwidebro/et-008-career-coaching,et-008-career-coaching,True,Civilization OS — ET-008-Career-Coaching,,0,8,ET-001-Online-Tutoring-Platform|ET-002-Language-Learning-App|ET-003-Test-Prep-Service|ET-004-Coding-Bootcamp|ET-005-Professional-Certification|ET-006-Corporate-Training|ET-007-Skills-Assessment-Platform|ET-008-Career-Coaching,Online Tutoring Platform|Language Learning App|Test Prep Service|Coding Bootcamp|Professional Certification|Corporate Training|Skills Assessment Platform|Career Coaching,aligned
Worldwidebro/et-009-resume-writing-service,et-009-resume-writing-service,True,Civilization OS — ET-009-Resume-Writing-Service,,0,1,ET-009-Resume-Writing-Service,Resume Writing Service,aligned
Worldwidebro/et-010-interview-prep-platform,et-010-interview-prep-platform,True,Civilization OS — ET-010-Interview-Prep-Platform,,0,2,ET-010-Interview-Prep-Platform|ET-010-PERSONAL-RESUME,Interview Prep Platform|Personal Resume,aligned
Worldwidebro/et-011-mentorship-platform,et-011-mentorship-platform,True,Civilization OS — ET-011-Mentorship-Platform,,0,1,ET-011-Mentorship-Platform,Mentorship Platform,aligned
Worldwidebro/et-012-educational-content-library,et-012-educational-content-library,True,Civilization OS — ET-012-Educational-Content-Library,,0,1,ET-012-Educational-Content-Library,Educational Content Library,aligned
Worldwidebro/et-013-vr-training-simulations,et-013-vr-training-simulations,True,Civilization OS — ET-013-VR-Training-Simulations,,0,1,ET-013-VR-Training-Simulations,Vr Training Simulations,aligned
Worldwidebro/et-014-gamified-learning-app,et-014-gamified-learning-app,True,Civilization OS — ET-014-Gamified-Learning-App,,0,1,ET-014-Gamified-Learning-App,Gamified Learning App,aligned
Worldwidebro/et-015-homeschool-curriculum,et-015-homeschool-curriculum,True,Civilization OS — ET-015-Homeschool-Curriculum,,0,1,ET-015-Homeschool-Curriculum,Homeschool Curriculum,aligned
Worldwidebro/fh-001-personal-chef-service,fh-001-personal-chef-service,True,Civilization OS | Personal Chef Service — Food & Hospitality,,0,35,FH-001-Personal-Chef-Service|FH-002-Meal-Prep-Delivery|FH-003-Private-Dinner-Experiences|FH-004-Catering-Company|FH-005-Corporate-Lunch-Service|FH-006-Healthy-Meal-Prep-for-Gyms|FH-007-Elderly-Meal-Service|FH-008-Athlete-Nutrition-Service|FH-009-Packaged-Food-Brand|FH-010-Frozen-Meals-Company|FH-011-Sauce-or-Seasoning-Brand|FH-012-Protein-Snacks-Brand|FH-013-Meal-Kit-Company|FH-014-Cloud-Kitchen-|FH-015-AI-Nutrition-Planner|FH-016-Recipe-App|FH-017-Cooking-Content-Brand|FH-018-Food-Influencer-Brand|FH-019-Cooking-Course-Platform|FH-020-Restaurant-POS-System|FH-021-Food-Truck-Business|FH-022-Specialty-Coffee-Shop|FH-023-Bakery-&-Pastry-Shop|FH-024-Juice-Bar|FH-025-Ice-Cream-Shop|FH-026-Gourmet-Food-Market|FH-027-Food-Delivery-Platform|FH-028-Restaurant-Management-SaaS|FH-029-Food-Quality-Testing-Lab|FH-030-Organic-Food-Brand|FH-031-Vegan-Food-Company|FH-032-Keto-Meal-Service|FH-033-Food-Photography-Service|FH-034-Restaurant-Consulting|FH-035-Food-Safety-Training,Personal Chef Service|Meal Prep Delivery|Private Dinner Experiences|Catering Company|Corporate Lunch Service|Healthy Meal Prep For Gyms|Elderly Meal Service|Athlete Nutrition Service|Packaged Food Brand|Frozen Meals Company|Sauce Or Seasoning Brand|Protein Snacks Brand|Meal Kit Company|Cloud Kitchen |Ai Nutrition Planner|Recipe App|Cooking Content Brand|Food Influencer Brand|Cooking Course Platform|Restaurant Pos System|Food Truck Business|Specialty Coffee Shop|Bakery & Pastry Shop|Juice Bar|Ice Cream Shop|Gourmet Food Market|Food Delivery Platform|Restaurant Management Saas|Food Quality Testing Lab|Organic Food Brand|Vegan Food Company|Keto Meal Service|Food Photography Service|Restaurant Consulting|Food Safety Training,aligned
Worldwidebro/fh-002-meal-prep-delivery,fh-002-meal-prep-delivery,True,Civilization OS — FH-002-Meal-Prep-Delivery,,0,35,FH-001-Personal-Chef-Service|FH-002-Meal-Prep-Delivery|FH-003-Private-Dinner-Experiences|FH-004-Catering-Company|FH-005-Corporate-Lunch-Service|FH-006-Healthy-Meal-Prep-for-Gyms|FH-007-Elderly-Meal-Service|FH-008-Athlete-Nutrition-Service|FH-009-Packaged-Food-Brand|FH-010-Frozen-Meals-Company|FH-011-Sauce-or-Seasoning-Brand|FH-012-Protein-Snacks-Brand|FH-013-Meal-Kit-Company|FH-014-Cloud-Kitchen-|FH-015-AI-Nutrition-Planner|FH-016-Recipe-App|FH-017-Cooking-Content-Brand|FH-018-Food-Influencer-Brand|FH-019-Cooking-Course-Platform|FH-020-Restaurant-POS-System|FH-021-Food-Truck-Business|FH-022-Specialty-Coffee-Shop|FH-023-Bakery-&-Pastry-Shop|FH-024-Juice-Bar|FH-025-Ice-Cream-Shop|FH-026-Gourmet-Food-Market|FH-027-Food-Delivery-Platform|FH-028-Restaurant-Management-SaaS|FH-029-Food-Quality-Testing-Lab|FH-030-Organic-Food-Brand|FH-031-Vegan-Food-Company|FH-032-Keto-Meal-Service|FH-033-Food-Photography-Service|FH-034-Restaurant-Consulting|FH-035-Food-Safety-Training,Personal Chef Service|Meal Prep Delivery|Private Dinner Experiences|Catering Company|Corporate Lunch Service|Healthy Meal Prep For Gyms|Elderly Meal Service|Athlete Nutrition Service|Packaged Food Brand|Frozen Meals Company|Sauce Or Seasoning Brand|Protein Snacks Brand|Meal Kit Company|Cloud Kitchen |Ai Nutrition Planner|Recipe App|Cooking Content Brand|Food Influencer Brand|Cooking Course Platform|Restaurant Pos System|Food Truck Business|Specialty Coffee Shop|Bakery & Pastry Shop|Juice Bar|Ice Cream Shop|Gourmet Food Market|Food Delivery Platform|Restaurant Management Saas|Food Quality Testing Lab|Organic Food Brand|Vegan Food Company|Keto Meal Service|Food Photography Service|Restaurant Consulting|Food Safety Training,aligned
Worldwidebro/fh-003-private-dinner-experiences,fh-003-private-dinner-experiences,True,Civilization OS — FH-003-Private-Dinner-Experiences,,0,35,FH-001-Personal-Chef-Service|FH-002-Meal-Prep-Delivery|FH-003-Private-Dinner-Experiences|FH-004-Catering-Company|FH-005-Corporate-Lunch-Service|FH-006-Healthy-Meal-Prep-for-Gyms|FH-007-Elderly-Meal-Service|FH-008-Athlete-Nutrition-Service|FH-009-Packaged-Food-Brand|FH-010-Frozen-Meals-Company|FH-011-Sauce-or-Seasoning-Brand|FH-012-Protein-Snacks-Brand|FH-013-Meal-Kit-Company|FH-014-Cloud-Kitchen-|FH-015-AI-Nutrition-Planner|FH-016-Recipe-App|FH-017-Cooking-Content-Brand|FH-018-Food-Influencer-Brand|FH-019-Cooking-Course-Platform|FH-020-Restaurant-POS-System|FH-021-Food-Truck-Business|FH-022-Specialty-Coffee-Shop|FH-023-Bakery-&-Pastry-Shop|FH-024-Juice-Bar|FH-025-Ice-Cream-Shop|FH-026-Gourmet-Food-Market|FH-027-Food-Delivery-Platform|FH-028-Restaurant-Management-SaaS|FH-029-Food-Quality-Testing-Lab|FH-030-Organic-Food-Brand|FH-031-Vegan-Food-Company|FH-032-Keto-Meal-Service|FH-033-Food-Photography-Service|FH-034-Restaurant-Consulting|FH-035-Food-Safety-Training,Personal Chef Service|Meal Prep Delivery|Private Dinner Experiences|Catering Company|Corporate Lunch Service|Healthy Meal Prep For Gyms|Elderly Meal Service|Athlete Nutrition Service|Packaged Food Brand|Frozen Meals Company|Sauce Or Seasoning Brand|Protein Snacks Brand|Meal Kit Company|Cloud Kitchen |Ai Nutrition Planner|Recipe App|Cooking Content Brand|Food Influencer Brand|Cooking Course Platform|Restaurant Pos System|Food Truck Business|Specialty Coffee Shop|Bakery & Pastry Shop|Juice Bar|Ice Cream Shop|Gourmet Food Market|Food Delivery Platform|Restaurant Management Saas|Food Quality Testing Lab|Organic Food Brand|Vegan Food Company|Keto Meal Service|Food Photography Service|Restaurant Consulting|Food Safety Training,aligned
Worldwidebro/fh-004-catering-company,fh-004-catering-company,True,Civilization OS — FH-004-Catering-Company,,0,35,FH-001-Personal-Chef-Service|FH-002-Meal-Prep-Delivery|FH-003-Private-Dinner-Experiences|FH-004-Catering-Company|FH-005-Corporate-Lunch-Service|FH-006-Healthy-Meal-Prep-for-Gyms|FH-007-Elderly-Meal-Service|FH-008-Athlete-Nutrition-Service|FH-009-Packaged-Food-Brand|FH-010-Frozen-Meals-Company|FH-011-Sauce-or-Seasoning-Brand|FH-012-Protein-Snacks-Brand|FH-013-Meal-Kit-Company|FH-014-Cloud-Kitchen-|FH-015-AI-Nutrition-Planner|FH-016-Recipe-App|FH-017-Cooking-Content-Brand|FH-018-Food-Influencer-Brand|FH-019-Cooking-Course-Platform|FH-020-Restaurant-POS-System|FH-021-Food-Truck-Business|FH-022-Specialty-Coffee-Shop|FH-023-Bakery-&-Pastry-Shop|FH-024-Juice-Bar|FH-025-Ice-Cream-Shop|FH-026-Gourmet-Food-Market|FH-027-Food-Delivery-Platform|FH-028-Restaurant-Management-SaaS|FH-029-Food-Quality-Testing-Lab|FH-030-Organic-Food-Brand|FH-031-Vegan-Food-Company|FH-032-Keto-Meal-Service|FH-033-Food-Photography-Service|FH-034-Restaurant-Consulting|FH-035-Food-Safety-Training,Personal Chef Service|Meal Prep Delivery|Private Dinner Experiences|Catering Company|Corporate Lunch Service|Healthy Meal Prep For Gyms|Elderly Meal Service|Athlete Nutrition Service|Packaged Food Brand|Frozen Meals Company|Sauce Or Seasoning Brand|Protein Snacks Brand|Meal Kit Company|Cloud Kitchen |Ai Nutrition Planner|Recipe App|Cooking Content Brand|Food Influencer Brand|Cooking Course Platform|Restaurant Pos System|Food Truck Business|Specialty Coffee Shop|Bakery & Pastry Shop|Juice Bar|Ice Cream Shop|Gourmet Food Market|Food Delivery Platform|Restaurant Management Saas|Food Quality Testing Lab|Organic Food Brand|Vegan Food Company|Keto Meal Service|Food Photography Service|Restaurant Consulting|Food Safety Training,aligned
