venture_number,venture_id,venture_name,canonical_sector_id,canonical_sector_name,opco_id,executive_division,business_archetype,portfolio_horizon,development_stage,github_repo_url,live_front_door_url
186,PS-020,Social Media Management,SEC-004,Content & Media,OpCo-004,09. Marketing,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/ps-020-social-media-management,https://worldwidebro.github.io/social-media-management/
187,PS-021,Seo Agency,SEC-019,Marketing & Advertising,OpCo-019,09. Marketing,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/ps-021-seo-agency,https://worldwidebro.github.io/seo-agency/
188,PS-022,Ppc Management,SEC-019,Marketing & Advertising,OpCo-019,09. Marketing,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/ps-022-ppc-management,https://worldwidebro.github.io/ppc-management/
189,PS-023,Pr Agency,SEC-019,Marketing & Advertising,OpCo-019,09. Marketing,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,validation,https://github.com/Worldwidebro/ps-023-pr-agency,https://worldwidebro.github.io/pr-agency/
190,PS-024,Recruiting Agency,SEC-014,Human Resources & Staffing,OpCo-014,04. People,Contract Cash Flow (B2B Services),H2: Fast-Follow Feeders,validation,https://github.com/Worldwidebro/ps-024-recruiting-agency,https://worldwidebro.github.io/recruiting-agency/
191,PS-025,Business Brokerage,SEC-023,Professional Services,OpCo-023,01. Governance,Contract Cash Flow (B2B Services),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ps-025-business-brokerage,https://worldwidebro.github.io/business-brokerage/
192,MC-001,Youtube Channel Network,SEC-004,Content & Media,OpCo-004,09. Marketing,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/mc-001-youtube-channel-network,https://worldwidebro.github.io/youtube-channel-network/
193,MC-002,Podcast Network,SEC-004,Content & Media,OpCo-004,09. Marketing,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/mc-002-podcast-network,https://worldwidebro.github.io/podcast-network/
194,MC-003,Blog Network,SEC-004,Content & Media,OpCo-004,09. Marketing,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/mc-003-blog-network,https://worldwidebro.github.io/blog-network/
195,MC-004,Influencer Agency,SEC-004,Content & Media,OpCo-004,09. Marketing,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,validation,https://github.com/Worldwidebro/mc-004-influencer-agency,https://worldwidebro.github.io/influencer-agency/
196,MC-005,Content Creation Studio,SEC-004,Content & Media,OpCo-004,09. Marketing,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/mc-005-content-creation-studio,https://worldwidebro.github.io/content-creation-studio/
197,MC-006,Video Production Company,SEC-004,Content & Media,OpCo-004,09. Marketing,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,validation,https://github.com/Worldwidebro/mc-006-video-production-company,https://worldwidebro.github.io/video-production-company/
198,MC-007,Animation Studio,SEC-004,Content & Media,OpCo-004,09. Marketing,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/mc-007-animation-studio,https://worldwidebro.github.io/animation-studio/
199,MC-008,Music Production,SEC-004,Content & Media,OpCo-004,09. Marketing,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,validation,https://github.com/Worldwidebro/mc-008-music-production,https://worldwidebro.github.io/music-production/
200,MC-009,Stock Photography,SEC-004,Content & Media,OpCo-004,09. Marketing,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/mc-009-stock-photography,https://worldwidebro.github.io/stock-photography/
201,MC-010,Stock Video,SEC-004,Content & Media,OpCo-004,09. Marketing,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/mc-010-stock-video,https://worldwidebro.github.io/stock-video/
202,MC-011,Online Magazine,SEC-004,Content & Media,OpCo-004,09. Marketing,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/mc-011-online-magazine,https://worldwidebro.github.io/online-magazine/
203,MC-012,News Website,SEC-004,Content & Media,OpCo-004,09. Marketing,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,validation,https://github.com/Worldwidebro/mc-012-news-website,https://worldwidebro.github.io/news-website/
204,MC-013,Streaming Platform,SEC-004,Content & Media,OpCo-004,09. Marketing,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/mc-013-streaming-platform,https://worldwidebro.github.io/streaming-platform/
205,MC-014,Gaming Channel,SEC-004,Content & Media,OpCo-004,09. Marketing,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/mc-014-gaming-channel,https://worldwidebro.github.io/gaming-channel/
206,MC-015,Esports Team,SEC-004,Content & Media,OpCo-004,09. Marketing,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/mc-015-esports-team,https://worldwidebro.github.io/esports-team/
207,MC-016,Virtual Events Platform,SEC-004,Content & Media,OpCo-004,09. Marketing,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/mc-016-virtual-events-platform,https://worldwidebro.github.io/virtual-events-platform/
208,MC-017,Online Course Platform,SEC-004,Content & Media,OpCo-004,09. Marketing,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/mc-017-online-course-platform,https://worldwidebro.github.io/online-course-platform/
209,MC-018,Membership Site,SEC-004,Content & Media,OpCo-004,09. Marketing,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/mc-018-membership-site,https://worldwidebro.github.io/membership-site/
210,MC-019,Digital Download Store,SEC-004,Content & Media,OpCo-004,09. Marketing,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/mc-019-digital-download-store,https://worldwidebro.github.io/digital-download-store/
211,MC-020,Nft Marketplace,SEC-004,Content & Media,OpCo-004,09. Marketing,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/mc-020-nft-marketplace,https://worldwidebro.github.io/nft-marketplace/
212,ET-001,Online Tutoring Platform,SEC-005,Education & Training,OpCo-005,04. People,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/et-001-online-tutoring-platform,https://worldwidebro.github.io/online-tutoring-platform/
213,ET-002,Language Learning App,SEC-005,Education & Training,OpCo-005,04. People,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/et-002-language-learning-app,https://worldwidebro.github.io/language-learning-app/
214,ET-003,Test Prep Service,SEC-005,Education & Training,OpCo-005,04. People,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,validation,https://github.com/Worldwidebro/et-003-test-prep-service,https://worldwidebro.github.io/test-prep-service/
215,EDU-005,Coding Bootcamp,SEC-005,Education & Training,OpCo-005,04. People,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,validation,https://github.com/Worldwidebro/edu-005-coding-bootcamp,https://worldwidebro.github.io/coding-bootcamp/
216,ET-005,Professional Certification,SEC-005,Education & Training,OpCo-005,04. People,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,validation,https://github.com/Worldwidebro/et-005-professional-certification,https://worldwidebro.github.io/professional-certification/
217,EDU-026,Corporate Training,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,validation,https://github.com/Worldwidebro/edu-026-corporate-training-ai,https://worldwidebro.github.io/corporate-training/
218,ET-007,Skills Assessment Platform,SEC-005,Education & Training,OpCo-005,04. People,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/et-007-skills-assessment-platform,https://worldwidebro.github.io/skills-assessment-platform/
219,ET-008,Career Coaching,SEC-005,Education & Training,OpCo-005,04. People,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/et-008-career-coaching,https://worldwidebro.github.io/career-coaching/
220,ET-009,Resume Writing Service,SEC-005,Education & Training,OpCo-005,04. People,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/et-009-resume-writing-service,https://worldwidebro.github.io/resume-writing-service/
221,ET-010,Interview Prep Platform,SEC-005,Education & Training,OpCo-005,04. People,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/et-010-interview-prep-platform,https://worldwidebro.github.io/interview-prep-platform/
222,ET-011,Mentorship Platform,SEC-005,Education & Training,OpCo-005,04. People,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/et-011-mentorship-platform,https://worldwidebro.github.io/mentorship-platform/
223,ET-012,Educational Content Library,SEC-004,Content & Media,OpCo-004,09. Marketing,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/et-012-educational-content-library,https://worldwidebro.github.io/educational-content-library/
224,ET-013,Vr Training Simulations,SEC-005,Education & Training,OpCo-005,04. People,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/et-013-vr-training-simulations,https://worldwidebro.github.io/vr-training-simulations/
225,ET-014,Gamified Learning App,SEC-005,Education & Training,OpCo-005,04. People,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/et-014-gamified-learning-app,https://worldwidebro.github.io/gamified-learning-app/
226,ET-015,Homeschool Curriculum,SEC-005,Education & Training,OpCo-005,04. People,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,validation,https://github.com/Worldwidebro/et-015-homeschool-curriculum,https://worldwidebro.github.io/homeschool-curriculum/
227,V-0227,Saas Platform,SEC-028,B2B Enterprise Software,OpCo-028,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,mvp,https://github.com/async-labs/saas,https://worldwidebro.github.io/saas-platform/
228,V-0228,Mobile App Development,SEC-024,Technology & Software,OpCo-024,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,mvp,,NONE / DRAFTED
229,V-0229,Web Development Agency,SEC-024,Technology & Software,OpCo-024,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,mvp,,NONE / DRAFTED
230,V-0230,Custom Software Development,SEC-024,Technology & Software,OpCo-024,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,validation,https://github.com/zquestz/s,https://worldwidebro.github.io/custom-software-development/
231,V-0231,Api Development,SEC-024,Technology & Software,OpCo-024,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,mvp,https://github.com/earendil-works/pi,https://worldwidebro.github.io/api-development/
232,V-0232,Cloud Infrastructure,SEC-024,Technology & Software,OpCo-024,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/zquestz/s,https://worldwidebro.github.io/cloud-infrastructure/
233,V-0233,Devops Consulting,SEC-023,Professional Services,OpCo-023,01. Governance,Contract Cash Flow (B2B Services),H3: Frozen Frontier / Call Options,validation,https://github.com/zquestz/s,https://worldwidebro.github.io/devops-consulting/
234,V-0234,Cybersecurity Service,SEC-033,Cybersecurity & Privacy,OpCo-033,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,validation,https://github.com/zquestz/s,https://worldwidebro.github.io/cybersecurity-service/
235,V-0235,Data Analytics Platform,SEC-029,Marketplace & Platform,OpCo-029,08. Revenue,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/zquestz/s,https://worldwidebro.github.io/data-analytics-platform/
236,V-0236,Business Intelligence Tool,SEC-024,Technology & Software,OpCo-024,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/zquestz/s,https://worldwidebro.github.io/business-intelligence-tool/
237,V-0237,Crm Platform,SEC-028,B2B Enterprise Software,OpCo-028,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/trycompai/crm,https://worldwidebro.github.io/crm-platform/
238,V-0238,Project Management Tool,SEC-019,Marketing & Advertising,OpCo-019,09. Marketing,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,,NONE / DRAFTED
239,V-0239,Communication Platform,SEC-029,Marketplace & Platform,OpCo-029,08. Revenue,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/hcengineering/platform,https://worldwidebro.github.io/communication-platform/
240,V-0240,Collaboration Software,SEC-012,Healthcare & Biotechnology,OpCo-012,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/zquestz/s,https://worldwidebro.github.io/collaboration-software/
241,V-0241,Automation Platform,SEC-029,Marketplace & Platform,OpCo-029,08. Revenue,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/hcengineering/platform,https://worldwidebro.github.io/automation-platform/
242,FIN-033,Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/fin-033-ai-tax-preparation-service,https://worldwidebro.github.io/ai/
243,V-0243,Chatbot Builder,SEC-002,Construction & Infrastructure,OpCo-002,10. Assets & Investments,Asset-Backed Moat (Physical Ops),H2: Fast-Follow Feeders,mvp,,NONE / DRAFTED
244,EC-044,E Commerce Platform,SEC-021,Retail & E-commerce,OpCo-021,08. Revenue,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-044-live-commerce-platform,https://worldwidebro.github.io/e-commerce-platform/
245,V-0245,Payment Processing,SEC-008,Financial Services,OpCo-008,02. Finance & Capital,Contract Cash Flow (B2B Services),H2: Fast-Follow Feeders,validation,https://github.com/zquestz/s,https://worldwidebro.github.io/payment-processing/
246,V-0246,Blockchain Platform,SEC-034,Decentralized & Web3,OpCo-034,02. Finance & Capital,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/hcengineering/platform,https://worldwidebro.github.io/blockchain-platform/
247,V-0247,Iot Platform,SEC-003,Consumer Electronics & Hardware,OpCo-003,05. Technology,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/hcengineering/platform,https://worldwidebro.github.io/iot-platform/
248,V-0248,Ar,SEC-024,Technology & Software,OpCo-024,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/santifer/career-ops,https://worldwidebro.github.io/ar/
249,V-0249,Game Development,SEC-011,Gaming & Entertainment,OpCo-011,06. Product & Innovation,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,validation,,NONE / DRAFTED
250,V-0250,Marketing Automation,SEC-019,Marketing & Advertising,OpCo-019,09. Marketing,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/iza-os-marketing-automation-analytics-bot,https://worldwidebro.github.io/marketing-automation/
251,V-0251,Sales Automation,SEC-025,Automotive & Mobility,OpCo-025,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,mvp,https://github.com/Worldwidebro/iza-os-sales-automation-monitoring-bot,https://worldwidebro.github.io/sales-automation/
252,V-0252,Hr Tech Platform,SEC-014,Human Resources & Staffing,OpCo-014,04. People,Contract Cash Flow (B2B Services),H2: Fast-Follow Feeders,planned,https://github.com/hcengineering/platform,https://worldwidebro.github.io/hr-tech-platform/
253,V-0253,Legal Tech Platform,SEC-016,Legal & Compliance,OpCo-016,03. Legal & Risk,Contract Cash Flow (B2B Services),H3: Frozen Frontier / Call Options,planned,https://github.com/hcengineering/platform,https://worldwidebro.github.io/legal-tech-platform/
254,V-0254,Health Tech Platform,SEC-012,Healthcare & Biotechnology,OpCo-012,07. Operations,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/hcengineering/platform,https://worldwidebro.github.io/health-tech-platform/
255,V-0255,Edtech Platform,SEC-029,Marketplace & Platform,OpCo-029,08. Revenue,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/hcengineering/platform,https://worldwidebro.github.io/edtech-platform/
256,V-0256,Proptech Platform,SEC-019,Marketing & Advertising,OpCo-019,09. Marketing,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/hcengineering/platform,https://worldwidebro.github.io/proptech-platform/
257,EC-001,Angels In Daylight,SEC-029,Marketplace & Platform,OpCo-029,08. Revenue,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-001-angels-in-daylight,https://worldwidebro.github.io/angels-in-daylight/
258,EC-002,New World Apparel,SEC-021,Retail & E-commerce,OpCo-021,08. Revenue,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-002-new-world-apparel,https://worldwidebro.github.io/new-world-apparel/
259,EC-003,Shopify Autopilot,SEC-021,Retail & E-commerce,OpCo-021,08. Revenue,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-003-shopify-autopilot,https://worldwidebro.github.io/shopify-autopilot/
260,EC-004,Shoe Customizer,SEC-029,Marketplace & Platform,OpCo-029,08. Revenue,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-004-shoe-customizer,https://worldwidebro.github.io/shoe-customizer/
261,EC-005,Sunglasses Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-005-sunglasses-ai,https://worldwidebro.github.io/sunglasses-ai/
262,EC-006,Dropship Hub,SEC-029,Marketplace & Platform,OpCo-029,08. Revenue,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-006-dropship-hub,https://worldwidebro.github.io/dropship-hub/
263,EC-007,Personal Shopper Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-007-personal-shopper-ai,https://worldwidebro.github.io/personal-shopper-ai/
264,EC-008,Custom Sneaker Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-008-custom-sneaker-ai,https://worldwidebro.github.io/custom-sneaker-ai/
265,EC-009,Sustainable Fashion Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-009-sustainable-fashion-ai,https://worldwidebro.github.io/sustainable-fashion-ai/
266,EC-010,Jewelry Designer Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-010-jewelry-designer-ai,https://worldwidebro.github.io/jewelry-designer-ai/
267,EC-011,Virtual Try On Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-011-virtual-try-on-ai,https://worldwidebro.github.io/virtual-try-on-ai/
268,EC-012,Fashion Designer Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-012-fashion-designer-ai,https://worldwidebro.github.io/fashion-designer-ai/
269,EC-013,Merch Licensing,SEC-021,Retail & E-commerce,OpCo-021,08. Revenue,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-013-merch-licensing,https://worldwidebro.github.io/merch-licensing/
270,EC-014,Subscription Box Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-014-subscription-box-ai,https://worldwidebro.github.io/subscription-box-ai/
271,EC-015,Surf Gear Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-015-surf-gear-ai,https://worldwidebro.github.io/surf-gear-ai/
272,EC-016,Ski Gear Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-016-ski-gear-ai,https://worldwidebro.github.io/ski-gear-ai/
273,EC-017,Golf Gear Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-017-golf-gear-ai,https://worldwidebro.github.io/golf-gear-ai/
274,EC-018,Fishing Gear Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-018-fishing-gear-ai,https://worldwidebro.github.io/fishing-gear-ai/
275,EC-019,Yoga Gear Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-019-yoga-gear-ai,https://worldwidebro.github.io/yoga-gear-ai/
276,EC-020,Costume Shop Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-020-costume-shop-ai,https://worldwidebro.github.io/costume-shop-ai/
277,EC-021,Luggage Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-021-luggage-ai,https://worldwidebro.github.io/luggage-ai/
278,EC-022,Home Appliance Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-022-home-appliance-ai,https://worldwidebro.github.io/home-appliance-ai/
279,EC-023,Tool Shop Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-023-tool-shop-ai,https://worldwidebro.github.io/tool-shop-ai/
280,EC-024,Garden Supply Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-024-garden-supply-ai,https://worldwidebro.github.io/garden-supply-ai/
281,EC-025,Collectible Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-025-collectible-ai,https://worldwidebro.github.io/collectible-ai/
282,EC-026,Hobby Shop Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-026-hobby-shop-ai,https://worldwidebro.github.io/hobby-shop-ai/
283,EC-027,Kids Toy Line,SEC-011,Gaming & Entertainment,OpCo-011,06. Product & Innovation,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-027-kids-toy-line,https://worldwidebro.github.io/kids-toy-line/
284,EC-028,Nft Fashion Licensing,SEC-029,Marketplace & Platform,OpCo-029,08. Revenue,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-028-nft-fashion-licensing,https://worldwidebro.github.io/nft-fashion-licensing/
285,EC-029,Instant Brand Generator,SEC-029,Marketplace & Platform,OpCo-029,08. Revenue,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-029-instant-brand-generator,https://worldwidebro.github.io/instant-brand-generator/
286,EC-030,Ai Product Photographer,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-030-ai-product-photographer,https://worldwidebro.github.io/ai-product-photographer/
287,EC-031,Automated Inventory Forecaster,SEC-029,Marketplace & Platform,OpCo-029,08. Revenue,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-031-automated-inventory-forecaster,https://worldwidebro.github.io/automated-inventory-forecaster/
288,EC-032,Dynamic Pricing Engine,SEC-019,Marketing & Advertising,OpCo-019,09. Marketing,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-032-dynamic-pricing-engine,https://worldwidebro.github.io/dynamic-pricing-engine/
289,EC-033,Ad Optimizer Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-033-ad-optimizer-ai,https://worldwidebro.github.io/ad-optimizer-ai/
290,EC-034,Recommendation Engine,SEC-029,Marketplace & Platform,OpCo-029,08. Revenue,D2C & Digital Long Tail (Storefronts & Media),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-034-recommendation-engine,https://worldwidebro.github.io/recommendation-engine/
291,EC-035,Review Aggregator Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-035-review-aggregator-ai,https://worldwidebro.github.io/review-aggregator-ai/
292,EC-036,Fulfillment Network Ai,SEC-032,Artificial Intelligence & ML,OpCo-032,05. Technology,Infrastructure Core (Platforms & AI),H3: Frozen Frontier / Call Options,planned,https://github.com/Worldwidebro/ec-036-fulfillment-network-ai,https://worldwidebro.github.io/fulfillment-network-ai/
