"ID","Name","Sector","Stage"
"null","Ai Nutritionist","Technology","planned"
"null","Smart Hotel Butler","Technology","planned"
"null","Ai Language Tutor","Technology","planned"
"null","Smart Transportation Ai","Technology","planned"
"null","Ai Travel Planner","Technology","planned"
"null","Smart Agriculture Ai","Technology","planned"
"null","Ai Personal Shopper","Technology","planned"
"null","Smart Home Security","Technology","planned"
"null","Ai Music Producer","Technology","planned"
"null","Smart Restaurant Ai","Technology","planned"
"null","Ai Movie Critic","Technology","planned"
"null","Smart Museum Guide","Technology","planned"
"null","Ai Sports Analyst","Technology","planned"
"null","Smart Library Ai","Technology","planned"
"null","Ai Art Curator","Technology","planned"
"null","Smart Fitness Ai","Technology","planned"
"null","Ai Poetry Generator","Technology","planned"
"null","Smart Dating Ai","Technology","planned"
"null","Ai Journalism Tool","Technology","planned"
"null","Smart Legal Ai","Technology","planned"
"null","Ai Game Designer","Technology","growth"
"null","Smart Real Estate Ai","Technology","planned"
"null","Ai Cooking Assistant","Technology","planned"
"null","Smart Health Ai","Technology","planned"
"null","Ai Photography Tool","Technology","planned"
"null","Smart Writing Ai","Technology","planned"
"null","Ai Comedy Writer","Technology","planned"
"null","Smart Meditation Ai","Technology","planned"
"null","Ai Debate Coach","Technology","planned"
"null","Smart Parenting Ai","Technology","planned"
"null","Ai Financial Advisor","Technology","planned"
"null","Smart Automotive Ai","Technology","planned"
"null","Ai Aviation Planner","Technology","planned"
"null","Smart Maritime Ai","Technology","planned"
"null","Ai Weather Forecast","Technology","planned"
"null","Smart Energy Ai","Technology","planned"
"null","Ai Sports Coach","Technology","planned"
"null","Smart Education Ai","Technology","planned"
"null","Ai Language Translator","Technology","planned"
"null","Dist","Financial","planned"
"null","Node_Modules","Financial","planned"
"null","Public","Financial","planned"
"null","Src","Financial","planned"
"null","Supabase","Financial","planned"
"null","Unknown","Technology","unknown"
"null","GenixBank Lite","Financial","Ideation"
"null","Credit Repair Automation","Financial","Ideation"
"null","AI Boss Hub Lite","Financial","Ideation"
"null","GenixBanks AI Treasurer","Financial","Ideation"
"null","U-Haul Rental Affiliate","Financial","MVP"
"null","Tax Prep & Filing Services","Financial","Ideation"
"null","Business Credit Building","Financial","Ideation"
"null","Business Formation Services","Financial","MVP"
"null","Crypto Tax Optimizer","Financial","Ideation"
"null","AI-Powered Garbage Collection","Financial","Ideation"
"null","Automated Bookkeeping","Financial","Ideation"
"null","Invoice Factoring AI","Financial","Ideation"
"null","Charity Donation AI","Financial","Ideation"
"null","Expense Tracker AI","Financial","Ideation"
"null","Financial Wellness Coach","Financial","MVP"
"null","Trade Finance AI","Financial","Ideation"
"null","Remittance AI","Financial","Ideation"
"null","Wealth Transfer AI","Financial","Ideation"
"null","Payment Gateway AI","Financial","Ideation"
"null","Debt Consolidation AI","Financial","Ideation"
"null","Tax Deduction Finder","Financial","Ideation"
"null","Budget Forecasting AI","Financial","Ideation"
"null","Investment Portfolio AI","Financial","Ideation"
"null","Crowdfunding AI","Financial","Ideation"
"null","Escrow Automation","Financial","Ideation"
"null","Financial Compliance Scanner","Financial","Ideation"
"null","Patent Writer AI","Financial","Ideation"
"null","Legal Analyzer AI","Financial","Ideation"
"null","Compliance Wallet SaaS","Financial","Ideation"
"null","Local SEO Ranker AI","Financial","Ideation"
"null","Investor Dashboard Builder","Financial","Ideation"
"null","Legal Toolkit AI","Financial","Ideation"
"null","AI Tax Preparation Service","Financial","Ideation"
"null","Payroll Automation","Financial","Ideation"
"null","Insurance Underwriting AI","Financial","Ideation"
"null","Angels in Daylight","Marketplace","MVP"
"null","New World Apparel","Marketplace","MVP"
"null","Shopify Autopilot","Marketplace","MVP"
"null","Shoe Customizer","Marketplace","Ideation"
"null","Sunglasses AI","Marketplace","Ideation"
"null","Dropship Hub","Marketplace","MVP"
"null","Personal Shopper AI","Marketplace","Ideation"
"null","Custom Sneaker AI","Marketplace","Ideation"
"null","Sustainable Fashion AI","Marketplace","Ideation"
"null","Jewelry Designer AI","Marketplace","Ideation"
"null","Shopify Autopilot","Technology","MVP"
"null","Online Course Platform","Education","Ideation"
"null","Local Community Hub","Media","Ideation"
"null","Process Automation Suite","Operations","Ideation"
"null","Blockchain Commerce Platform","Technology","Ideation"
"null","GenixBank Lite","Technology","unknown"
"null","Credit Repair Automation","Technology","unknown"
"null","AI Boss Hub Lite","Technology","unknown"
"null","GenixBanks AI Treasurer","Technology","unknown"
"null","U-Haul Rental Affiliate","Technology","unknown"
"null","Tax Prep & Filing Services","Technology","unknown"
"null","Business Credit Building","Technology","unknown"
"null","Business Formation Services","Technology","unknown"
"null","Crypto Tax Optimizer","Technology","unknown"
"null","AI-Powered Garbage Collection","Technology","unknown"
"null","Automated Bookkeeping","Technology","unknown"
"null","Invoice Factoring AI","Technology","unknown"
"null","Charity Donation AI","Technology","unknown"
"null","Expense Tracker AI","Technology","unknown"
"null","Financial Wellness Coach","Technology","unknown"
"null","Trade Finance AI","Technology","unknown"
"null","Remittance AI","Technology","unknown"
"null","Wealth Transfer AI","Technology","unknown"
"null","Payment Gateway AI","Technology","unknown"
"null","Debt Consolidation AI","Technology","unknown"
"null","Tax Deduction Finder","Technology","unknown"
"null","Budget Forecasting AI","Technology","unknown"
"null","Investment Portfolio AI","Technology","unknown"
"null","Crowdfunding AI","Technology","unknown"
"null","Escrow Automation","Technology","unknown"
"null","Financial Compliance Scanner","Technology","unknown"
"null","Patent Writer AI","Technology","unknown"
"null","Legal Analyzer AI","Technology","unknown"
"null","Compliance Wallet SaaS","Technology","unknown"
"null","Local SEO Ranker AI","Technology","unknown"
"null","Investor Dashboard Builder","Technology","unknown"
"null","Legal Toolkit AI","Technology","unknown"
"null","AI Tax Preparation Service","Technology","unknown"
"null","Payroll Automation","Technology","unknown"
"null","Insurance Underwriting AI","Technology","unknown"
"null","Angels in Daylight","Technology","unknown"
"null","New World Apparel","Technology","unknown"
"null","Shopify Autopilot","Technology","unknown"
"null","Shoe Customizer","Technology","unknown"
"null","Sunglasses AI","Technology","unknown"
"null","Dropship Hub","Technology","unknown"
"null","Personal Shopper AI","Technology","unknown"
"null","Custom Sneaker AI","Technology","unknown"
"null","Sustainable Fashion AI","Technology","unknown"
"null","Jewelry Designer AI","Technology","unknown"
"null","Shopify Autopilot","Technology","unknown"
"null","Online Course Platform","Technology","unknown"
"null","Local Community Hub","Technology","unknown"
"null","Process Automation Suite","Technology","unknown"
"null","Blockchain Commerce Platform","Technology","unknown"
"null","Property Holdings","Real Estate","planned"
