venture_id,name,sector,opco,revenue_model,pricing_range,basis
PS-016-Photography-Service,Photography Service,professional-services,PROFESSIONAL-SERVICES,Retainer / project fee,quoted per engagement,sector default: professional-services
PS-017-Videography-Service,Videography Service,professional-services,PROFESSIONAL-SERVICES,Ad revenue + subscription,CPM/sponsorship + $5-15/month premium tier,keyword match: video
PS-018-Translation-Services,Translation Services,professional-services,PROFESSIONAL-SERVICES,Retainer / project fee,quoted per engagement,sector default: professional-services
PS-019-Copywriting-Service,Copywriting Service,professional-services,PROFESSIONAL-SERVICES,Retainer / project fee,quoted per engagement,sector default: professional-services
PS-020-Social-Media-Management,Social Media Management,professional-services,PROFESSIONAL-SERVICES,Ad revenue + subscription,CPM/sponsorship + $5-15/month premium tier,keyword match: media
PS-021-SEO-Agency,Seo Agency,professional-services,PROFESSIONAL-SERVICES,Local SaaS subscription,$99-299/month per business,keyword match: seo
PS-022-PPC-Management,Ppc Management,professional-services,PROFESSIONAL-SERVICES,Retainer / project fee,quoted per engagement,sector default: professional-services
PS-023-PR-Agency,Pr Agency,professional-services,PROFESSIONAL-SERVICES,Retainer / project fee,quoted per engagement,sector default: professional-services
PS-024-Recruiting-Agency,Recruiting Agency,professional-services,PROFESSIONAL-SERVICES,Placement fee,15-25% of first-year salary,keyword match: recruit
PS-025-Business-Brokerage,Business Brokerage,professional-services,PROFESSIONAL-SERVICES,Retainer / project fee,quoted per engagement,sector default: professional-services
MC-001-YouTube-Channel-Network,Youtube Channel Network,media-content,MEDIA-CONTENT,Ad revenue + subscription,CPM/sponsorship + $5-15/month,sector default: media-content
MC-002-Podcast-Network,Podcast Network,media-content,MEDIA-CONTENT,Ad revenue + subscription,CPM/sponsorship + $5-15/month premium tier,keyword match: podcast
MC-003-Blog-Network,Blog Network,media-content,MEDIA-CONTENT,Ad revenue + subscription,CPM/sponsorship + $5-15/month,sector default: media-content
MC-004-Influencer-Agency,Influencer Agency,media-content,MEDIA-CONTENT,Ad revenue + subscription,CPM/sponsorship + $5-15/month,sector default: media-content
MC-005-Content-Creation-Studio,Content Creation Studio,media-content,MEDIA-CONTENT,Ad revenue + subscription,CPM/sponsorship + $5-15/month premium tier,keyword match: content
MC-006-Video-Production-Company,Video Production Company,media-content,MEDIA-CONTENT,Ad revenue + subscription,CPM/sponsorship + $5-15/month premium tier,keyword match: video
MC-007-Animation-Studio,Animation Studio,media-content,MEDIA-CONTENT,Ad revenue + subscription,CPM/sponsorship + $5-15/month,sector default: media-content
MC-008-Music-Production,Music Production,media-content,MEDIA-CONTENT,Ad revenue + subscription,CPM/sponsorship + $5-15/month,sector default: media-content
MC-009-Stock-Photography,Stock Photography,media-content,MEDIA-CONTENT,Ad revenue + subscription,CPM/sponsorship + $5-15/month,sector default: media-content
MC-010-Stock-Video,Stock Video,media-content,MEDIA-CONTENT,Ad revenue + subscription,CPM/sponsorship + $5-15/month premium tier,keyword match: video
MC-011-Online-Magazine,Online Magazine,media-content,MEDIA-CONTENT,Ad revenue + subscription,CPM/sponsorship + $5-15/month,sector default: media-content
MC-012-News-Website,News Website,media-content,MEDIA-CONTENT,Ad revenue + subscription,CPM/sponsorship + $5-15/month,sector default: media-content
MC-013-Streaming-Platform,Streaming Platform,media-content,MEDIA-CONTENT,Ad revenue + subscription,CPM/sponsorship + $5-15/month,sector default: media-content
MC-014-Gaming-Channel,Gaming Channel,media-content,MEDIA-CONTENT,Ad revenue + subscription,CPM/sponsorship + $5-15/month,sector default: media-content
MC-015-Esports-Team,Esports Team,media-content,MEDIA-CONTENT,Membership subscription,$29-79/month,keyword match: sports
MC-016-Virtual-Events-Platform,Virtual Events Platform,media-content,MEDIA-CONTENT,Ad revenue + subscription,CPM/sponsorship + $5-15/month,sector default: media-content
MC-017-Online-Course-Platform,Online Course Platform,media-content,MEDIA-CONTENT,Course fee or subscription,$19-99 one-time or /month,keyword match: course
MC-018-Membership-Site,Membership Site,media-content,MEDIA-CONTENT,Ad revenue + subscription,CPM/sponsorship + $5-15/month,sector default: media-content
MC-019-Digital-Download-Store,Digital Download Store,media-content,MEDIA-CONTENT,Ad revenue + subscription,CPM/sponsorship + $5-15/month,sector default: media-content
MC-020-NFT-Marketplace,Nft Marketplace,media-content,MEDIA-CONTENT,Marketplace take-rate,8-20% of GMV,keyword match: marketplace
ET-001-Online-Tutoring-Platform,Online Tutoring Platform,education-training,EDUCATION-TRAINING,Course fee or subscription,$19-99 one-time or /month,keyword match: tutor
ET-002-Language-Learning-App,Language Learning App,education-training,EDUCATION-TRAINING,Course fee or subscription,$19-99 one-time or /month,sector default: education-training
ET-003-Test-Prep-Service,Test Prep Service,education-training,EDUCATION-TRAINING,Course fee or subscription,$19-99 one-time or /month,sector default: education-training
ET-004-Coding-Bootcamp,Coding Bootcamp,education-training,EDUCATION-TRAINING,Course fee or subscription,$19-99 one-time or /month,sector default: education-training
ET-005-Professional-Certification,Professional Certification,education-training,EDUCATION-TRAINING,Course fee or subscription,$19-99 one-time or /month,sector default: education-training
ET-006-Corporate-Training,Corporate Training,education-training,EDUCATION-TRAINING,Course fee or subscription,$19-99 one-time or /month,keyword match: training
ET-007-Skills-Assessment-Platform,Skills Assessment Platform,education-training,EDUCATION-TRAINING,Course fee or subscription,$19-99 one-time or /month,sector default: education-training
ET-008-Career-Coaching,Career Coaching,education-training,EDUCATION-TRAINING,Course fee or subscription,$19-99 one-time or /month,keyword match: coaching
ET-009-Resume-Writing-Service,Resume Writing Service,education-training,EDUCATION-TRAINING,Course fee or subscription,$19-99 one-time or /month,sector default: education-training
ET-010-Interview-Prep-Platform,Interview Prep Platform,education-training,EDUCATION-TRAINING,Course fee or subscription,$19-99 one-time or /month,sector default: education-training
ET-011-Mentorship-Platform,Mentorship Platform,education-training,EDUCATION-TRAINING,Course fee or subscription,$19-99 one-time or /month,sector default: education-training
ET-012-Educational-Content-Library,Educational Content Library,education-training,EDUCATION-TRAINING,Course fee or subscription,$19-99 one-time or /month,keyword match: education
ET-013-VR-Training-Simulations,Vr Training Simulations,education-training,EDUCATION-TRAINING,Course fee or subscription,$19-99 one-time or /month,keyword match: training
ET-014-Gamified-Learning-App,Gamified Learning App,education-training,EDUCATION-TRAINING,Course fee or subscription,$19-99 one-time or /month,sector default: education-training
ET-015-Homeschool-Curriculum,Homeschool Curriculum,education-training,EDUCATION-TRAINING,Course fee or subscription,$19-99 one-time or /month,sector default: education-training
ST-001-SaaS-Platform,Saas Platform,software-technology,SOFTWARE-TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: saas
ST-002-Mobile-App-Development,Mobile App Development,software-technology,SOFTWARE-TECHNOLOGY,Subscription SaaS,$29-99/month,sector default: software-technology
ST-003-Web-Development-Agency,Web Development Agency,software-technology,SOFTWARE-TECHNOLOGY,Subscription SaaS,$29-99/month,sector default: software-technology
ST-004-Custom-Software-Development,Custom Software Development,software-technology,SOFTWARE-TECHNOLOGY,Subscription SaaS,$29-99/month,sector default: software-technology
ST-005-API-Development,Api Development,software-technology,SOFTWARE-TECHNOLOGY,Subscription SaaS,$29-99/month,sector default: software-technology
ST-006-Cloud-Infrastructure,Cloud Infrastructure,software-technology,SOFTWARE-TECHNOLOGY,Subscription SaaS,$29-99/month,sector default: software-technology
ST-007-DevOps-Consulting,Devops Consulting,software-technology,SOFTWARE-TECHNOLOGY,Subscription SaaS,$29-99/month,sector default: software-technology
ST-008-Cybersecurity-Service,Cybersecurity Service,software-technology,SOFTWARE-TECHNOLOGY,Subscription SaaS,$29-99/month,sector default: software-technology
ST-009-Data-Analytics-Platform,Data Analytics Platform,software-technology,SOFTWARE-TECHNOLOGY,B2B SaaS subscription,$49-199/month per seat,keyword match: analytics
ST-010-Business-Intelligence-Tool,Business Intelligence Tool,software-technology,SOFTWARE-TECHNOLOGY,Subscription SaaS,$29-99/month,sector default: software-technology
ST-011-CRM-Platform,Crm Platform,software-technology,SOFTWARE-TECHNOLOGY,Subscription SaaS,$29-99/month,sector default: software-technology
ST-012-Project-Management-Tool,Project Management Tool,software-technology,SOFTWARE-TECHNOLOGY,Subscription SaaS,$29-99/month,sector default: software-technology
ST-013-Communication-Platform,Communication Platform,software-technology,SOFTWARE-TECHNOLOGY,Subscription SaaS,$29-99/month,sector default: software-technology
ST-014-Collaboration-Software,Collaboration Software,software-technology,SOFTWARE-TECHNOLOGY,Subscription SaaS,$29-99/month,sector default: software-technology
ST-015-Automation-Platform,Automation Platform,software-technology,SOFTWARE-TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: automation
ST-016-AI,Ai,software-technology,SOFTWARE-TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: ai
ST-017-Chatbot-Builder,Chatbot Builder,software-technology,SOFTWARE-TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: builder
ST-018-E-commerce-Platform,E Commerce Platform,software-technology,SOFTWARE-TECHNOLOGY,Subscription SaaS,$29-99/month,sector default: software-technology
ST-019-Payment-Processing,Payment Processing,software-technology,SOFTWARE-TECHNOLOGY,Per-transaction fee,1-3% + flat fee per transaction,keyword match: payment
ST-020-Blockchain-Platform,Blockchain Platform,software-technology,SOFTWARE-TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: ai
ST-021-IoT-Platform,Iot Platform,software-technology,SOFTWARE-TECHNOLOGY,Subscription SaaS,$29-99/month,sector default: software-technology
ST-022-AR,Ar,software-technology,SOFTWARE-TECHNOLOGY,Subscription SaaS,$29-99/month,sector default: software-technology
ST-023-Game-Development,Game Development,software-technology,SOFTWARE-TECHNOLOGY,Subscription SaaS,$29-99/month,sector default: software-technology
ST-024-Marketing-Automation,Marketing Automation,software-technology,SOFTWARE-TECHNOLOGY,Local SaaS subscription,$99-299/month per business,keyword match: marketing
ST-025-Sales-Automation,Sales Automation,software-technology,SOFTWARE-TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: automation
ST-026-HR-Tech-Platform,Hr Tech Platform,software-technology,SOFTWARE-TECHNOLOGY,Subscription SaaS,$29-99/month,sector default: software-technology
ST-027-Legal-Tech-Platform,Legal Tech Platform,software-technology,SOFTWARE-TECHNOLOGY,Per-document fee or subscription,$29-79 / month or per-document,keyword match: legal
ST-028-Health-Tech-Platform,Health Tech Platform,software-technology,SOFTWARE-TECHNOLOGY,Subscription SaaS,$29-99/month,sector default: software-technology
ST-029-EdTech-Platform,Edtech Platform,software-technology,SOFTWARE-TECHNOLOGY,Subscription SaaS,$29-99/month,sector default: software-technology
ST-030-PropTech-Platform,Proptech Platform,software-technology,SOFTWARE-TECHNOLOGY,Subscription SaaS,$29-99/month,sector default: software-technology
EC-001-Angels-in-Daylight,Angels In Daylight,e-commerce,E-COMMERCE,Marketplace take-rate,8-15% of GMV,sector default: e-commerce
EC-002-New-World-Apparel,New World Apparel,e-commerce,E-COMMERCE,Marketplace take-rate,8-15% of GMV,sector default: e-commerce
EC-003-Shopify-Autopilot,Shopify Autopilot,e-commerce,E-COMMERCE,Marketplace take-rate,8-15% of GMV,sector default: e-commerce
EC-004-Shoe-Customizer,Shoe Customizer,e-commerce,E-COMMERCE,Marketplace take-rate,8-15% of GMV,sector default: e-commerce
EC-005-Sunglasses-AI,Sunglasses Ai,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-006-Dropship-Hub,Dropship Hub,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: hub
EC-007-Personal-Shopper-AI,Personal Shopper Ai,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-008-Custom-Sneaker-AI,Custom Sneaker Ai,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-009-Sustainable-Fashion-AI,Sustainable Fashion Ai,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-010-Jewelry-Designer-AI,Jewelry Designer Ai,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-011-Virtual-Try-On-AI,Virtual Try On Ai,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-012-Fashion-Designer-AI,Fashion Designer Ai,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-013-Merch-Licensing,Merch Licensing,e-commerce,E-COMMERCE,Marketplace take-rate,8-15% of GMV,sector default: e-commerce
EC-014-Subscription-Box-AI,Subscription Box Ai,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-015-Surf-Gear-AI,Surf Gear Ai,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-016-Ski-Gear-AI,Ski Gear Ai,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-017-Golf-Gear-AI,Golf Gear Ai,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-018-Fishing-Gear-AI,Fishing Gear Ai,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-019-Yoga-Gear-AI,Yoga Gear Ai,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-020-Costume-Shop-AI,Costume Shop Ai,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-021-Luggage-AI,Luggage Ai,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-022-Home-Appliance-AI,Home Appliance Ai,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-023-Tool-Shop-AI,Tool Shop Ai,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-024-Garden-Supply-AI,Garden Supply Ai,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-025-Collectible-AI,Collectible Ai,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-026-Hobby-Shop-AI,Hobby Shop Ai,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-027-Kids-Toy-Line,Kids Toy Line,e-commerce,E-COMMERCE,Marketplace take-rate,8-15% of GMV,sector default: e-commerce
EC-028-NFT-Fashion-Licensing,Nft Fashion Licensing,e-commerce,E-COMMERCE,Marketplace take-rate,8-15% of GMV,sector default: e-commerce
EC-029-Instant-Brand-Generator,Instant Brand Generator,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: generator
EC-030-AI-Product-Photographer,Ai Product Photographer,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-031-Automated-Inventory-Forecaster,Automated Inventory Forecaster,e-commerce,E-COMMERCE,Marketplace take-rate,8-15% of GMV,sector default: e-commerce
EC-032-Dynamic-Pricing-Engine,Dynamic Pricing Engine,e-commerce,E-COMMERCE,Marketplace take-rate,8-15% of GMV,sector default: e-commerce
EC-033-Ad-Optimizer-AI,Ad Optimizer Ai,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-034-Recommendation-Engine,Recommendation Engine,e-commerce,E-COMMERCE,Marketplace take-rate,8-15% of GMV,sector default: e-commerce
EC-035-Review-Aggregator-AI,Review Aggregator Ai,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-036-Fulfillment-Network-AI,Fulfillment Network Ai,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-037-Return-Optimization-AI,Return Optimization Ai,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-038-Chatbot-Customer-Service,Chatbot Customer Service,e-commerce,E-COMMERCE,Marketplace take-rate,8-15% of GMV,sector default: e-commerce
EC-039-Visual-Search-AI,Visual Search Ai,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-040-Abandoned-Cart-Recovery,Abandoned Cart Recovery,e-commerce,E-COMMERCE,Marketplace take-rate,8-15% of GMV,sector default: e-commerce
EC-041-Seasonal-Trend-Predictor,Seasonal Trend Predictor,e-commerce,E-COMMERCE,Marketplace take-rate,8-15% of GMV,sector default: e-commerce
EC-042-Influencer-Matchmaker,Influencer Matchmaker,e-commerce,E-COMMERCE,Marketplace take-rate,8-15% of GMV,sector default: e-commerce
EC-043-UGC-Content-Aggregator,Ugc Content Aggregator,e-commerce,E-COMMERCE,Ad revenue + subscription,CPM/sponsorship + $5-15/month premium tier,keyword match: content
EC-044-Live-Commerce-Platform,Live Commerce Platform,e-commerce,E-COMMERCE,Marketplace take-rate,8-15% of GMV,sector default: e-commerce
EC-045-AR-Virtual-Fitting-Room,Ar Virtual Fitting Room,e-commerce,E-COMMERCE,Marketplace take-rate,8-15% of GMV,sector default: e-commerce
EC-046-3D-Product-Viewer,3D Product Viewer,e-commerce,E-COMMERCE,Marketplace take-rate,8-15% of GMV,sector default: e-commerce
EC-047-Carbon-Footprint-Tracker,Carbon Footprint Tracker,e-commerce,E-COMMERCE,Marketplace take-rate,8-15% of GMV,sector default: e-commerce
EC-048-Wholesale-Marketplace-AI,Wholesale Marketplace Ai,e-commerce,E-COMMERCE,Marketplace take-rate,8-20% of GMV,keyword match: marketplace
EC-049-Rental-Marketplace,Rental Marketplace,e-commerce,E-COMMERCE,Marketplace take-rate,8-20% of GMV,keyword match: marketplace
EC-050-AI-Product-Descriptions,Ai Product Descriptions,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-051-AI-Email-Marketing,Ai Email Marketing,e-commerce,E-COMMERCE,Local SaaS subscription,$99-299/month per business,keyword match: marketing
EC-052-AI-Product-Bundler,Ai Product Bundler,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-053-AI-Visual-Merchandiser,Ai Visual Merchandiser,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-054-AI-Demand-Forecasting,Ai Demand Forecasting,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-055-AI-Warehouse-Management,Ai Warehouse Management,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-056-AI-Supplier-Matching,Ai Supplier Matching,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-057-AI-Quality-Control,Ai Quality Control,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-058-AI-Packaging-Designer,Ai Packaging Designer,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-059-AI-Logistics-Planner,Ai Logistics Planner,e-commerce,E-COMMERCE,Per-shipment / per-route fee,"B2B SaaS, per-route or per-unit fee",keyword match: logistics
EC-060-AI-Customer-Loyalty,Ai Customer Loyalty,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-061-AI-Gift-Finder,Ai Gift Finder,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-062-AI-Trend-Hunter,Ai Trend Hunter,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-063-AI-Market-Research,Ai Market Research,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-064-AI-Competitor-Watcher,Ai Competitor Watcher,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-065-AI-Product-Development,Ai Product Development,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-066-AI-Customer-Journey,Ai Customer Journey,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-067-AI-Payment-Optimization,Ai Payment Optimization,e-commerce,E-COMMERCE,Per-transaction fee,1-3% + flat fee per transaction,keyword match: payment
EC-068-AI-Returns-Management,Ai Returns Management,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-069-AI-Shipping-Labeler,Ai Shipping Labeler,e-commerce,E-COMMERCE,Per-shipment / per-route fee,"B2B SaaS, per-route or per-unit fee",keyword match: shipping
EC-070-AI-Product-Launch-Coach,Ai Product Launch Coach,e-commerce,E-COMMERCE,Course fee or subscription,$19-99 one-time or /month,keyword match: coach
EC-071-AI-Vendor-Negotiator,Ai Vendor Negotiator,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-072-AI-Product-Cataloger,Ai Product Cataloger,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-073-AI-Order-Prioritizer,Ai Order Prioritizer,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-074-AI-Customer-Segmentation,Ai Customer Segmentation,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-075-AI-Pricing-Analyst,Ai Pricing Analyst,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-076-AI-Sales-Forecasting,Ai Sales Forecasting,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-077-AI-Inventory-Reordering,Ai Inventory Reordering,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-078-AI-Product-Comparison,Ai Product Comparison,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-079-AI-Customer-Feedback,Ai Customer Feedback,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-080-AI-Product-Updates,Ai Product Updates,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-081-AI-Cross-Selling,Ai Cross Selling,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-082-AI-Up-Selling,Ai Up Selling,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-083-AI-Product-Education,Ai Product Education,e-commerce,E-COMMERCE,Course fee or subscription,$19-99 one-time or /month,keyword match: education
EC-084-AI-Purchase-Timing,Ai Purchase Timing,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-085-AI-Customer-Support,Ai Customer Support,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-086-AI-Order-Tracking,Ai Order Tracking,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-087-AI-Product-Reviews,Ai Product Reviews,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-088-AI-Customer-Community,Ai Customer Community,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-089-AI-Product-Customization,Ai Product Customization,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-090-AI-Gift-Registry,Ai Gift Registry,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-091-AI-Wedding-Registry,Ai Wedding Registry,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-092-AI-Baby-Registry,Ai Baby Registry,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-093-AI-Holiday-Planner,Ai Holiday Planner,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-094-AI-Personal-Shopper,Ai Personal Shopper,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-095-AI-Color-Match,Ai Color Match,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-096-AI-Fabric-Advisor,Ai Fabric Advisor,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-097-AI-Fit-Recommendation,Ai Fit Recommendation,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-098-AI-Outfit-Builder,Ai Outfit Builder,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-099-AI-Seasonal-Forecast,Ai Seasonal Forecast,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-100-AI-Wardrobe-Planner,Ai Wardrobe Planner,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-101-AI-Accessory-Match,Ai Accessory Match,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-102-AI-Shoe-Match,Ai Shoe Match,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-103-AI-Jewelry-Match,Ai Jewelry Match,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-104-AI-Bag-Match,Ai Bag Match,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-105-AI-Color-Palette,Ai Color Palette,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-106-AI-Outfit-Recycling,Ai Outfit Recycling,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-107-AI-Style-Evolution,Ai Style Evolution,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-108-AI-Budget-Stylist,Ai Budget Stylist,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-109-AI-Trend-Archive,Ai Trend Archive,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
EC-110-AI-Vintage-Advisor,Ai Vintage Advisor,e-commerce,E-COMMERCE,Subscription SaaS,$29-99/month,keyword match: ai
TECH-001-Quantum-Algorithm-AI,Quantum Algorithm Ai,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: ai
TECH-002-AI-Compliance-Scanner,Ai Compliance Scanner,technology,TECHNOLOGY,B2B compliance SaaS,$199-499/month per institution monitored,keyword match: compliance
TECH-003-Cloud-Management-AI,Cloud Management Ai,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: ai
TECH-004-Robotics-Training-AI,Robotics Training Ai,technology,TECHNOLOGY,Course fee or subscription,$19-99 one-time or /month,keyword match: training
TECH-005-Customer-Insights-AI,Customer Insights Ai,technology,TECHNOLOGY,B2B SaaS subscription,$49-199/month per seat,keyword match: insight
TECH-006-Voice-Assistant-AI,Voice Assistant Ai,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: ai
TECH-007-Blockchain-Verifier-AI,Blockchain Verifier Ai,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: ai
TECH-008-Cybersecurity-Shield,Cybersecurity Shield,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,sector default: technology
TECH-009-Content-Studio-AI,Content Studio Ai,technology,TECHNOLOGY,Ad revenue + subscription,CPM/sponsorship + $5-15/month premium tier,keyword match: content
TECH-010-Smart-Home-AI,Smart Home Ai,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: ai
TECH-011-Supply-Chain-Optimizer,Supply Chain Optimizer,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: ai
TECH-012-Data-Visualization-AI,Data Visualization Ai,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: ai
TECH-013-Workflow-Automation,Workflow Automation,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: automation
TECH-014-Sentiment-Analyzer,Sentiment Analyzer,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,sector default: technology
TECH-015-Image-Recognition-AI,Image Recognition Ai,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: ai
TECH-016-Video-Editor-AI,Video Editor Ai,technology,TECHNOLOGY,Ad revenue + subscription,CPM/sponsorship + $5-15/month premium tier,keyword match: video
TECH-017-Speech-to-Text-AI,Speech To Text Ai,technology,TECHNOLOGY,Subscription SaaS,$29-99/month,keyword match: ai
