venture_id,name,sector,mobile_archetype,confidence,tech_stack,top_competitors,ai_features,candidates
7959b02f,Chatbot Customer Service,market,marketplace,50.0%,"React Native, Flutter","TaskRabbit, Handy",Predictive matching (ML) | Dynamic pricing (AI) | Fraud detection (ML),marketplace
9e4f8a59,Video Editor Ai,devtools,content_community,50.0%,"React Native, Flutter","TikTok, Instagram Reels",AI recommendations | Automated thumbnails | Transcription + captions,content_community
cf272b81,Wholesale Marketplace Ai,market,marketplace,50.0%,"React Native, Flutter","TaskRabbit, Handy",Predictive matching (ML) | Dynamic pricing (AI) | Fraud detection (ML),marketplace
fd2288c3,Expense Management Ai,infra,saas_tool,50.0%,"React Native, Flutter","Asana, Monday",AI task automation | Smart scheduling | Auto-summarization,saas_tool
2471d5ff,Time Tracking Ai,infra,health_wellness,60.0%,"React Native, Flutter","Fitbit, Strava",Personalized workout plans | Health predictions (ML) | Smart coaching (AI),health_wellness
f3ef9069,Project Budget Ai,infra,saas_tool,50.0%,"React Native, Flutter","Asana, Monday",AI task automation | Smart scheduling | Auto-summarization,saas_tool
a3db939f,Workflow Management Ai,infra,saas_tool,50.0%,"React Native, Flutter","Asana, Monday",AI task automation | Smart scheduling | Auto-summarization,saas_tool
feeefc69,Branding Templates Marketplace,edtech,marketplace,50.0%,"React Native, Flutter","TaskRabbit, Handy",Predictive matching (ML) | Dynamic pricing (AI) | Fraud detection (ML),marketplace
14ca9c22,Personal Finance Coach,edtech,fintech_wealth,30.0%,"React Native, Flutter","Revolut, Chime",Portfolio optimization | Fraud prevention (ML) | Tax optimization,fintech_wealth
0f8fb560,Ai Returns Management,market,saas_tool,50.0%,"React Native, Flutter","Asana, Monday",AI task automation | Smart scheduling | Auto-summarization,saas_tool
60c4c576,Neurofeedback Ai,ai,content_community,50.0%,"React Native, Flutter","TikTok, Instagram Reels",AI recommendations | Automated thumbnails | Transcription + captions,content_community
55af196a,Ai Customer Community,market,content_community,50.0%,"React Native, Flutter","TikTok, Instagram Reels",AI recommendations | Automated thumbnails | Transcription + captions,content_community
51b7ebf7,Ai Training Platform,devtools,content_community,30.0%,"React Native, Flutter","TikTok, Instagram Reels",AI recommendations | Automated thumbnails | Transcription + captions,content_community
0237b0cc,Facilities Management Ai,infra,saas_tool,50.0%,"React Native, Flutter","Asana, Monday",AI task automation | Smart scheduling | Auto-summarization,saas_tool
d0d98760,Asset Management Ai,infra,saas_tool,50.0%,"React Native, Flutter","Asana, Monday",AI task automation | Smart scheduling | Auto-summarization,saas_tool
865e4148,Project Budget Ai,infra,saas_tool,50.0%,"React Native, Flutter","Asana, Monday",AI task automation | Smart scheduling | Auto-summarization,saas_tool
970a10cd,Homeschooling Content Ai,edtech,content_community,50.0%,"React Native, Flutter","TikTok, Instagram Reels",AI recommendations | Automated thumbnails | Transcription + captions,content_community
a7313b93,Personal Finance Coach,edtech,fintech_wealth,30.0%,"React Native, Flutter","Revolut, Chime",Portfolio optimization | Fraud prevention (ML) | Tax optimization,fintech_wealth
